,title,director,genre,release_date,company,star_1,star_2,star_3
204,I Believe in You 2,Reginald Ebere,Drama,2004,Oakfil Productions,Rita Dominic,Richard Mofe-Damijo,Oge Okoye
205,One Way,Uche Odoh,Drama,2021,"Rok Studios,Watts Camera Action",Sunday Baba,Gbubemi Ejeye,Ebenezer Eno
206,Changing Tides,Rukky Sanda,Drama,2015,Rukky Sanda Studios,Ayo Adesanya Hassan,Destiny Amaka,Liz Benson
207,White Handkerchief,Tunde Kelani,Short,2000,Mainframe Film and Television Productions,Yinka Akanbi,Kemi Akanni,Temilolu Akinbola
208,Heavy Battle 2,Emeka Jonathan,Drama,2008,Mega Movies Industry,Edith Dibie,Pete Edochie,Emeka Ike
209,Love Tangled,Desmond Elliot,Romance,2021,"Denziot Studios Production,Rok Studios",Sophie Alakija,Segun Arinze,Edet Balodin
210,My Sugar,Okey-Zubelu Okoh,Comedy,2015,First Movies Internatonal,Stephen Anajemba,Henry Anyanwu,Segun Arinze
211,Black Monday,Adetola Adetayo,Short,2019,Accelerate TV,Olulade Adeniyi,Tunbosun Aiyedehin,Victor Apeji
212,Break the Silence,Daniel Chukwueze,Drama,2016,Rok Studios,Duke Emmanuel,Eve Esin,Destiny Etiko
213,Foreign Affairs,Obi Callys Obinali,Drama,2004,"Ahbu Ventures,Daivision Ventures,Valseco Industries",Saidi Balogun,Caroline Danjuma,Emeka Ike
214,Nothing for Nothing 3,MacCollins Chidebe,Drama,2005,Amaco Investments,Charles Awurum,Clarion Chukwura-Abiola,Chidi Ihesie
215,Love Child,Dickson Godwin,Drama,2020,Rok Studios,Somadina Adinma,Ngozi Chima,Queen Tessy Eze
216,Rough Patches,Simon Peacemaker,Drama,2019,Rok Studios,Mofe Duncan,Ini Efanga,Bridget Emovon
217,Heart of Gold,Emeka Madu,Drama,2019,"Oakfil Productions,Rok Studios",Uzor Arukwe,Stanley Igboanugo,Diewait Ikpechukwu
218,About a Boy,Diji Aderogba,Drama,2021,"Jade Media,Six Feet Awkward Productions",Kiitan Faroun,Chimezie Imo,Funmilayo Mustapha
219,Terrible Sin 2,Christian Onu,Drama,2001,Emmalex Associates Ltd.,Chiwetalu Agu,Chiege Alisigwe,Pete Edochie
220,Kamal Movie,"Babatunde Oyeniya,Adu Kolapo",Drama,2022,Exlfilmz Production,Adeyemi Adeosun,Saeed Mohammed,Koffi Idowu Nuel
221,Olaedo the Fisher Girl 2,Richards Omos-Iboyi,Drama,2015,Lion-Hills,Pacass Adebayo,Solomon Akiyesi,Darlington Azoro
222,Happy Ending,Serah Ogechi Onyeachor,Drama,2016,Chika Ike Production,Lilian Afegbai,Chika Ike,Anthony Monjaro
223,Juju Stories,"Abba Makama,C.J. 'Fiery' Obasi,Michael Omonua",Drama,2022,"Fiery Film Company,20 Pounds Production,Ifind Pictures",Belinda Agedah Yanga,Paul Utomi,Elvis Poko
224,Stronghold 2,Tchidi Chikere,Drama,2005,"Annex Merchandise Ltd.,Nwafor Anayo Production",Ini Edo,Jim Iyke,Tom Njamanze
225,Kylie's Quest,Umanu Elijah,Drama,2021,"Peekaboo Productions,Rok Studios,Umenze Media Concept",Ojiri Adetoun,Mawuli Gavor,Nancy Isime
226,My Mfon - an election day story,Michael Akinrogunde,Short,2019,"AMA Psalmist Productions,Joy of Art Media & Entertainment",Osas Ighodaro,,
227,Last Celebrity 2,Lancelot Oduwa Imasuen,Drama,2011,Simony Productions,Ini Edo,Desmond Elliot,Mike Ezuruonye
228,Lovelorn,Rukky Sanda,Drama,2012,Rukky Sanda Studios,Tonto Charity Dikeh,Alexx Ekubo,Daniel Lloyd
229,Suku suku bam bam 2,Dayo Adewunmi,Drama,2004,Adesqueen Production,Toyin Afolayan,Fathia Balogun,Adewale Elesho
230,I Swear 2,Ifeanyi Ikpoenyi,Romance,2004,"Immortal Films,Onyeka Joe Orajiaka Film,Twins Productions",Ini Edo,Justus Esiri,Ngozi Ezeonu
231,Hidden Treasure 2,Frank Rajah Arase,Drama,2008,O.J. Production,Olu Jacobs,Ramsey Nouah,Stephanie Linus
232,Blinded,Aniedi Awah Noba,Drama,2021,Unoaku Productions,Vanessa Edet,Nazo Ekezie,Scarlet Gomez
233,On Her Terms,Emeka Dibia Emelobe,Drama,2022,Rok Studios,Bimbo Ademoye,Pavel Agboire,Gift Amaka Anizoba
234,Gbanko gbi layé 2,Yemi Adegunju,Drama,2004,Yemi Adegunju Movie,Jide Kosoko,David Ojedokun,Feso Oyewole
235,Housegirl Lover,Emmanuel Mang Eme,Drama,2015,Uche Jombo studios,Adunni Ade,Seun Akindele,Daniel K. Daniel
236,The Fighter,Amayo Uzo Philips,Drama,2013,Onye Eze Holding Production,Funke Akindele,Stan K. Amandi,Roy De Nani
237,Iyawo Osukan,Akeem Alimi,Drama,2008,A Standard,Jide Alabi,Akeem Alimi,Fathia Balogun
238,A Certain Night,Didi Cheeka,Drama,2014,Purple Ribbon Entertainment,Josaj Ajali,Henry Anyanwu,Grace-Charis Bassey
239,Be My Val,MacCollins Chidebe,Drama,2006,Ossy Affason Production,Joan Agabi,Chioma Agbugba,Ejike Asiegbu
240,Woeman,Damijo Efe Young,Drama,2016,Ibaka TV,Omotu Bissong,Sidney Ekwulugo,Frederick Leonard
241,Disgraced,Uduak-Obong Patrick,Drama,2023,"Magic Movies Industries,Rok Studios",Chiege Alisigwe,Chimamanda Chinedu,Prince Eric
242,Eje adegbenro,Jide Kosoko,Drama,2006,"Babskos Films Production,Corporate Pictures",Aisha Abimbola,Akeem Adebayo,Biola Adebule
243,Fading,Shittu Taiwo,Drama,2019,1959 Productions,Igbadumhe Abass,Grace-Charis Bassey,Osas Iyamu
244,Princess of Wealth 2,Kabat Esosa Egbon,Thriller,2005,Kas-Vid International,Stephanie Linus,Saint Obi,Muna Obiekwe
245,Personal Assignment,Ndubuisi Okoh,Drama,2006,Soul Video,Chiwetalu Agu,Chima Andeh Alex,Enebechi Alor
246,Green Snake,MacCollins Chidebe,Comedy,2003,Annex Merchandise Ltd.,Stephen Ahanaonu,Gabryel Ali,Chizzy Charles
247,Misfit,Daniel Oriahi,Thriller,2013,House 5 Production,Ijeoma Grace Agu,Charles Ebhaleme,Rita Edward
248,Pot of Gold,Okey-Zubelu Okoh,Drama,2015,Uche Nancy Production,Cheryl Ann Amachree,Happiness Amadi,Tina Amuziam
249,The Search,Chuks Etolue,Drama,2006,Chino International,Lilian Bach,Emeka Enyiocha,Chuks Etolue
250,Drifted,Munachi Abii,Drama,2019,One & Two Productions,Bimbo Ademoye,Blessing Anietie,Kelvin Ekeng
251,Entitled,Chioma Ezeani,Short,2021,Dabb Media,Desmond Agbonkina,Chioma Ezeani,Damilola Ogunsi
252,Birth Control,Okey Ifeanyi,Drama,2022,"Rok Studios,VHS Production",Tokunbo Abayomi,Stephanie Abutu,Uche Peter Adigwe
253,Forced Engagement,Tope Alake,Drama,2019,Ibaka TV,Roxy Antak,Jorge Blaq,Ray Emodi
254,Vigilante,Adedeji Adesanya,Action,1988,A - Productions Nigeria,Wole Amele,Olu Jacobs,Sam Loco Efe
255,Just in Case,Ikechukwu Onyeka,Drama,2012,Iykon Productions,Ernest Anibe,Chioma,Tonto Charity Dikeh
256,Stronger Together,Austin Nwaolie,Romance,2018,"Rok Studios,Setwerk Films Productions",Jennifer Ekpenyong,Temisan Etsede,Eloho Festus
257,Scout,Ifeanyi Onyeabor,Action,2004,Infinity Films,Jayke Aernan,Lanre Balogun,George Davidson
258,Final War 2,Andy Nwakalor,Drama,2007,De-Kross Movie Production,Akume Akume,Francis Duru,Omotola Jalade-Ekeinde
259,The Seekers 2,Okey-Zubelu Okoh,Drama,2011,Social Movies,Olu Jacobs,Mercy Johnson Okojie,Chika Ike
260,Into Temptation,Willie Adah Ajenge,Drama,2004,Jomark Holdings,Rychardo Agbor,Padita Agu,Genevieve Nnaji
261,Ogbanta the Family Hunter 2,Sylvester Madu,Drama,2015,Uche Nancy Production,Tina Amuyiam,Chika Anyanwu,Obi Cezer
262,Indecent Affair,Chris Ihidero,Drama,2021,African Movie Channel,Tayo Arimoro,Jennifer Jude,Kelvinmary Ndukwe
263,Bambitious,Okechukwu Oku,Drama,2014,The Oracle Films,Uju Anikwe,Grace-Charis Bassey,Idongesit Bruno
264,Minority Tension,Izu Ojukwu,Drama,2007,Gold Pictures,Caroline Danjuma,Pete Edochie,Enebeli Elebuwa
265,Rattle Snake 2,Amaka Igwe,Drama,1995,Crystal Gold,Okey Igwe,Nkem Owoh,Ejike Metusela
266,Burning Heart 2,Theodore Anyanji,Drama,2004,"Goldmark International,Paradise Pictures Production",Fabian Adibe,Padita Agu,Emeka Enyiocha
267,Ejika the Tailor,Adewale Rasaq,Comedy,2021,Pinnacle of Inspiration,Adebowale Adedayo,Ayanfe Adekunle,Faith Akinlabi
268,Circle of Trust,Ike Nnaebue,Drama,2016,"Rok Studios,Ruth Kadiri's Production",Onyii Alex,Toosweet Annan,Esther Audu
269,Sometime in July,Ifenna Ezechukwu,Short,2018,Mobis Films,Queen Adedina Adisa,Oddman Emeka Aneke,Prince Emeka Ani
270,To Love an Angel,Dickson Iroegbu,Drama,2007,Atlantic Pictures,Bolanle Abudu,Barry Luke Adoghe,Seun Akindele
271,Holy Cross,Dickson Iroegbu,Drama,2006,Amaco Investments,Nonso Diobi,Pete Edochie,Uche Elendu
272,Italian Deal 2,Ernest Obi,Drama,2008,"Great Future Production Company,Nu-Wyne Entertainment",Mike Ezuruonye,Kalu Ikeagwu,Yvonne Jegede
273,Sister's Love,Lancelot Oduwa Imasuen,Drama,2008,Elonel International Ltd.,Oshinboyejo Adeniyi,Jide Alli,Fred Aresoma
274,Trigger,Bolanle Olusunde,Drama,2021,Rok Studios,Uzor Arukwe,Timini Egbuson,Jide Kosoko
275,Falling Apart,Reginald Ebere,Drama,2004,P. Collins Productions,Eucharia Anunobi Ekwu,King Joe Okechukwu,Queen Okereke
276,The Reset,Ozioma B. Nwughala,Drama,2022,"Dialogue Motion Pictures,Ibaka TV,Triple One Productions",Baaj Adebule,Bimbo Ademoye,Bimbo Akintola
277,Forgive Me Father,Tchidi Chikere,Comedy,2009,O. Gabby Innovations,Nkem Owoh,Osita Iheme,Uru Eke
278,Locked,Femi Irojemi,Short,2022,Real Picture Concept,Rita Alexander,Osagiede Destiny prince Dots,Choice Edobor
279,The Rise of Igbinogun,Onesoul,Drama,2022,"Oorun Media,Otabor Media Network",Shaffy Bello,Femi Branch,Blossom Chukwujekwu
280,Dreams,Morris Sesay,Drama,2017,Believe Media,Dior Adiele,Michael Bassey,Jorge Blaq
281,Hakkunde,Oluseyi Asurf,Comedy,2020,"Asurf Films,Phoenix Films & Media Productions",Frank Donga,Rahama Sadau,Maryam Booth
282,Conspiracy,"Chimdi Chiama,Ndubuisi Okoh",Drama,1999,Zelex Nigeria,Chris Erakpotobor,Ifeanyi Ezeokeke,Larry Koldsweat
283,Italian Deal,Ernest Obi,Drama,2008,"Great Future Production Company,Nu-Wyne Entertainment",Mike Ezuruonye,Kalu Ikeagwu,Yvonne Jegede
284,Hustle,Marc Adebesin,Drama,2021,"Bluewaters Solutions,Peacock Omowunmi Productions",Bimbo Ademoye,Gabriel Afolayan,Kelechi Anyikude
285,Untapped Gold 2,Nonso Emekaekwue,Drama,2006,Cosnoris International,Fred Ariko,Kanayo O. Kanayo,Jim Lawson
286,A Minute Silence,Afe Olumowe,Fantasy,2012,Rok Studios,Chacha Eke,Prince Eke,Queeneth Hilbert
287,The Trinity,Dickson Iroegbu,Drama,2007,"Akajiuba Nig.,Chidoo Investment",Seun Akindele,Eucharia Anunobi Ekwu,Enebeli Elebuwa
288,Lamine,Kayode Peters,Drama,2016,Rok Studios,Omowunmi Dada,Dayo Davies,Uru Eke
289,Omo britiko,Saidi Balogun,Drama,2004,Saidi Balogun Film Production,Bolaji Amusan,Fathia Balogun,Saidi Balogun
290,Christian Marriage,Chika Onu,Drama,2002,Valseco Industries,Lasa Amoro,Ejike Asiegbu,Jennifer Eliogu
291,The Other Side of the Coin,Lancelot Oduwa Imasuen,Drama,2016,Wells Entertainment,Mercy Aigbe,Seun Akindele,Alexx Ekubo
292,Darkest Day 2,Ikenna Aniekwe,Drama,2009,Black Star Entertainment,Ify Afuba,Ikem Chude,Clarion Chukwura-Abiola
293,"My Life, My Damage",Moses Inwang,Drama,2013,Wow Media,Tonto Charity Dikeh,H.T. Altman,Chijioke
294,Beyond Belief 2,"Kalu Anya,Al Schwartz",Thriller,2003,Andy Best Electronics,Emeka Enyiocha,Omotola Jalade-Ekeinde,Tuvi James
295,Tears of a Prince 2,Iyke Odife,Drama,2009,Lucky Star Incorporated,Desmond Elliot,Pete Eneh,Ngozi Ezeonu
296,Unforgivable (Ainidariji),Desmond Elliot,Drama,2013,Amzadol Productions,Dayo Amusa,Desmond Elliot,Mike Ezuruonye
297,East Meets West,Paul Iheanyichukwu Igwe,Comedy,2023,Rok Studios,Ogbolo Benstowe,Mary Lazarus,Chioma Nwosu
298,Love Is a Game 2,Livinus Nwabueze,Drama,2005,Ayo Industries,Amaka Aneke,Patience Ozokwor,Maureen Solomon
299,Ikemba,Godwin Onwuneme Obiora,Drama,2022,Ajatel Media Production,Chiwetalu Agu,Pete Edochie,Kanayo O. Kanayo
300,Church Prostitute 2,Nonso Emekaekwue,Drama,2008,"Magnetic Lynks,Naniz Production",David Markheinzi,Sapphire Obi,Oge Okoye
301,Husna Ko Husna?,Falalu A. Dorayi,Drama,2017,M.M. Haruna Film Production,Sarah Abubakar,Kabiru Adebo,Tijjani Asase
302,Our Dirty Little Secrets,Onesoul,Drama,2017,Heatfactory,Grace-Charis Bassey,Femi Branch,Amaka Chukwujekwu
303,Deja Vu,Elijah Tolulope Rotimi,Drama,2022,Gold Grinderz,Mojisola Adebanjo,Omotunde Adebowale David,Lateef Adedimeji
304,Matar Mijina,Sadiq N. Mafia,Drama,2018,Al-Rahuz Film Productions,Maryam Isa Abubakar,Umar Gombe,Malam Inuwa
305,His Guest,Adetola Adetayo,Drama,2022,"Content King,Glitch Africa",Samuel Idiake,Florence Imo,Abel Ukpong
306,Unhappily Married,Victor Okpala,Drama,2021,HMB Media,Omotola Adebayo,Norbert Asikhia,Momachi Godson
307,Mijin Biza,Falalu A. Dorayi,Drama,2017,Abnur Entertainment,Hadiza Aliyu,Halima Atete,Maryam Booth
308,I want Zoe,Israel Dasco,Short,2022,Palmtree Media Works,Harrywills Ibu,Sharon Matthew,Jethro Nwadike
309,Aye jobele 3,Wemimo Olu Paul,Drama,2004,Wemimo Films,Toyin Adegbola,Deji Adenuga,Kareem Adepoju
310,Trust,Emmanuel Akaemeh,Drama,2021,Rok Studios,Laureta Diamond,Obodoakor Emelie,Bayray McNwizu
311,League of Gentlemen,Michael Jaja,Drama,2009,Zelex Nigeria,Tochukwu Anyawu,Uju Aroh,Rita Daniels
312,Life Abroad,Simi Opeoluwa,Action,2006,Andy Best Electronics,Jerry Amilo,Hanks Anuku,Desmond Elliot
313,Ife Aimo (unknown Love),"Titi Jeje,Ololade Aderayo Ebong",Family,2019,Speed Film Productions,Yewande Adekoya,Jumoke George,Lanre Hassan
314,Extra Mile,Paul Iheanyichukwu Igwe,Drama,2021,"Africa Magic Original Films,Whitestone Cinema",Stella Charles,Sandra Eze,Calista Nwajide
315,Dream Man,Yemi Morafa,Drama,2022,"Oakfil Productions,Rok Studios",Aghogho Aghworo,Zealot Aghogho Aghworo,Franca Brown
316,2 Face,John Uche,Drama,2005,Hallmark Films Ltd.,Jennifer Alisa-Awazie,Rita Dominic,Desmond Elliot
317,Brain Wash 2,MacCollins Chidebe,Comedy,2006,"Chijioke Nneja Production,Magic Movies Production",Uche Elendu,John Okafor,
318,Wealth Aside,John Dunu,Drama,2007,"Genius Film,Imperial Pictures",Nonso Diobi,Enebeli Elebuwa,Yvonne Jegede
319,Honest Deceiver 2,Andy Chukwu,Drama,2009,"Meena Pictures,Onye Eze Holding Production",Ini Edo,Fatima Zanna,Justus Esiri
320,The Influencer,Udezeh Onyinye,Comedy,2021,Mazinni Pictures,Tana Adelana,Bimbo Ademoye,Chinenye Aniemenam
321,Easy Money,Ishaya Bako,Short,2012,Amateur Heads,Chucks Chyke,Daniel K. Daniel,Tony Goodman
322,Stronger Than Pain 2,Tchidi Chikere,Drama,2007,O. Gabby Innovations,Nkem Owoh,Kate Henshaw-Nuttal,Austin Faani Ikechukwu
323,Check Point,Bond Emeruwa,Drama,2007,"MLV Entertainment,Samcivic Investment",Rychardo Agbor,Marie Eboka,Saint Obi
324,"Food, Love or Both",Daniel Oriahi,Romance,2019,"House 5 Production,iROKOtv",Ijeoma Grace Agu,Ada Eze Amaka,Rita Edward
325,Never Say Goodbye,Tchidi Chikere,Drama,2003,P. Collins Productions,Fabian Adibe,Stella Damasus,David Ihesie
326,Brother's Keeper,Ikechukwu Onyeka,Thriller,2014,Oakfil Productions,Chigozie Atuanya,Moyo Lawal,Majid Michel
327,Flee,Emeka Okoro,Drama,2018,Media Activate Concept,Paul Adams,Pei Akintokun,Gloria Anozie
328,Mother in Love,Emeka Madu,Drama,2022,"Rok Studios,Summertime Pictures",Aghogho Aghworo,Chinenye Aniemenam,Ujams Cbriel
329,The Cobweb,Toka McBaror,Drama,2015,Foibir Entertainment,Funso Adeolu,Saidi Balogun,Foluke Daramola
330,Back from America 2,Andy Chukwu,Comedy,2003,"A-Z Production,Arinze Ezeanyaeche Production",Rita Dominic,Osita Iheme,Chidi Ihesie
331,Fubara's Wish,Okey Ifeanyi,Drama,2020,Rok Studios,Josethello John,Ruth Kadiri,Frederick Leonard
332,Ruwan Dare,Yaseen Auwal,Comedy,2018,Yamsa Multimedia,Maryam Booth,Abba El-Mustapha,Ladidi Fagge
333,Palace Slave 4,Emeka Nwosu,Drama,2010,Great Movies Ind. Ltd.,Nonso Diobi,Sochima Ezeoke,Mike Ezuruonye
334,Johnny Just Come,Charles Inojie,Comedy,2003,Louis Merchandise,Osita Iheme,Larry Koldsweat,Sam Loco Efe
335,Precious Secrets,Mike Ezuruonye,Drama,2022,Rok Studios,Eve Anselm,Mary Ann Apollo,Mike Ezuruonye
336,The Patient,Omoruyi Wallz Efosa,Drama,2020,One & Two Film,Deborah Anugwa,Caritas Didigwu,Emmanuel George
337,Battle of Musanga 2,Bolaji Dawodu,Drama,1996,"Chezkay Film,Gabosky Films",Chiwetalu Agu,Eucharia Anunobi Ekwu,Chika Anyanwu
338,Bleeding Crown,Ikechukwu Onyeka,Drama,2012,Tony Iyke Sight & Sound,Ayodele Akinjide,Amadi Angel,Paul Awurum
339,Sacred Lies 4,Ikechukwu Onyeka,Drama,2011,Divine Touch Productions,Genevieve Nnaji,Desmond Elliot,Nadia Buari
340,Unfinished Business,Lancelot Oduwa Imasuen,Drama,2007,Reemy Jes Nigeria Ltd.,Desmond Elliot,Genevieve Nnaji,Patience Ozokwor
341,Love & Marriage,Stanley Anaekwe,Romance,2004,"Great Movies Ind. Ltd.,Sunny Collins Production",Eucharia Anunobi Ekwu,Charles Awurum,Ini Edo
342,Passion & Pain,Tarila Thompson,Drama,2003,Elonel International Ltd.,Oby Edozieh,Desmond Elliot,Emeka Ike
343,Chocolate Pinging Salon,Okey-Zubelu Okoh,Comedy,2014,iROKOtv,Halimar Abubakar,Walter Anga,Eniola Badmus
344,Midnight Whisper,Desmond Elliot,Drama,2012,Believe Media,Ini Edo,Ginnefine Kanu,Clem Ohameze
345,Beauty and the Beast 3,Iyke Odife,Drama,2008,De-Kross Movie Production,Chiwetalu Agu,Nadia Buari,Ngozi Ezeonu
346,Gbeje Oloko,Tope Adebayo,Comedy,2020,J15 Media,Femi Adebayo,Muyiwa Ademola,Bukola Awoyemi
347,Heart of a Fighter 2,Ifeanyi Ogbonna,Drama,2011,Onyu Best Bright,Ramsey Nouah,Mercy Johnson Okojie,Enebeli Elebuwa
348,The Perfect Plan,Kabat Esosa Egbon,Drama,2014,Mamush Productions,Nike Adepoju,Gloria Anozie,Seun Toheeb Bamgbelu
349,The Wait,"Fiyin Gambo,Yemi Morafa",Drama,2021,"Eventful Nigeria,Lordtanner Studios",Ope Ade-Agbo,Mike Afolarin,Ifeanyi Akogo
350,The Colleague,Kayode Peters,Drama,2018,Shedlite Production,Gabriel Afolayan,Bolanle Ninalowo,Aminat Olasimbo
351,All Out of Love,Simon Peacemaker,Drama,2021,"Rok Studios,Triple One Productions",Baaj Adebule,Franca Brown,Michael Unome Ejoor
352,Price of Destiny,Ndubuisi Okoh,Drama,2004,Mantex Nigeria,Francis Duru,Alex Usifo Omiagbo,
353,That Other Good Turn,Mike Ezuruonye,Comedy,2021,"Rok Studios,Swift Angel Productions",Wunmi Adeyemi,Abbey Adigun,Mary Ann Apollo
354,My Name is Lama,Chuks J. Ejiofor,Drama,2022,Jay-Cruiz Entertainment,Moses Adebe,Roxy Antak,Franklyn Ezike
355,Long Walk to Nothing,Abimbola Olagunju,Drama,2019,"Bimmybat Films,Oyako Celins Pictures,Titi Joseph Production",Sade Adeosun,Lucy Agba,Gertrude Preye Augustine
356,Broken Tears,Michael Jaja,Drama,2008,Sea-World Movies,Grace Amah,Chuka Areh,Ikem Chude
357,Satisfy Me,Dabby Chimere,Drama,2021,Africa Magic Original Films,Lucy Ameh,Jane Iyke,Ifeanyi Kalu
358,Broken Intentions,Ossy Ugwu,Drama,2021,Graceful Film Studios,Grace-Charis Bassey,Adim Williams,Rita Arum
359,Nchekwube the Meat Seller,Richards Omos-Iboyi,Drama,2017,Lion-Hills,Pacass Adebayo,Henry Aigbadumah,Benedicta Gbemudu
360,A Cry for Justice 2,Ikenna Aniekwe,Drama,2010,Ossy Affason Production,Jackie Appiah,Mike Ezuruonye,Mercy Johnson Okojie
361,The Perfect Marriage,Fortune Ejim Kezi,Family,2022,Ficky's Production,Elizabeth Amadi,Roxy Antak,Ella Chimene Chima
362,The Satchel,Nissi Ogulu,Animation,2020,"Taeps Animation Studios,Creele Animation Studios",Ayobami Bello,Nissi Ogulu,Adeoyin Okuboyejo
363,Plane Crash 2,Theodore Anyanji,Drama,2008,Rich-Rock Productions,Franca Brown,Jennifer Eliogu,Emeka Enyiocha
364,Tumini's Song,Fred Amata,Drama,2006,Dove Media,Emma Ayalogu,Angela Brown Kalu,Ebele Okaro-Onyiuke
365,Cash & Carry,Ugezu J. Ugezu,Crime,2023,Mak-Vee Production,Nwaoha Chioma Blessing,Eka Duke,Gloria Johnson
366,The Seed,Ernest Obi,Drama,2005,"Bushman Production,Okyben Investment Ltd.",Stella Damasus,Emeka Enyiocha,Chidi Mokeme
367,The Faithful 2,Abiodun Otasanya,Romance,2004,Konia Concept,Rita Dominic,Desmond Elliot,
368,Insecure,Okey Ifeanyi,Drama,2021,Rok Studios,Seun Akindele,Leeland Allen,Frances Ben
369,The Bling Lagosians,Bolanle Austen-Peters,Drama,2019,"BAP Productions,B2B Integrated Media,Misa Productions",Gbenga Titiloye,Elvina Ibru,Osas Ighodaro
370,Crown King,Solomon Mac-Auley,Drama,2022,"Avizariah,Rok Studios",Joy Akpan,Sunday Bala,David Balogun
371,Shaheeda,Nasiru Ali Koki,Drama,2021,Hanan Synergy Concept,Isah Alolo,Misbahu Anfara,Hannatu Bashir
372,Evol,Tope Oshin,Romance,2017,"Sunbow Productions,Tope Oshin Productions",Toyin Abraham,Samuel Afolabi,Uzor Arukwe
373,Emotional Hazard 2,Ruke Amata,Comedy,2005,"Infinity Films,Ruke Amata Film",Bimbo Akintola,Iyke Amah,Fred Amata
374,Arise Made in Africa Mercedes Benz Fashion Week,Kenim,Short,2011,ARISE Magazine,Helen Jennings,Penny McDonald,
375,Disco Dancer 2,Kaycee Oguejiofor,Drama,2006,Filmark Productions,Ify Afuba,Kenneth Chukwu,Geraldine Ekeocha
376,Izunna,Johnpaul Nwanganga,Drama,2019,Rok Studios,Bianca Iloka,McCarthy Nonwani,Ebube Nwagbo
377,Mr & Mrs Posh,Okey Ifeanyi,Drama,2018,"Onyi Alexx Production,Rok Studios",Onyii Alex,Alex Ayalogu,Grace-Charis Bassey
378,Silence of the Gods 2,Teco Benson,Drama,2006,Reemmy Jes Production (RJP),Chiwetalu Agu,Chiege Alisigwe,Charles Awurum
379,Confidential Romance 2,Ikechukwu Onyeka,Drama,2007,"Dozac Global Maxima Investment,U.D. Production",Eucharia Anunobi Ekwu,Ini Edo,Emeka Ike
380,Omo olè,Abiodun Olanrewaju,Drama,2009,Sunny Alli Film Production,Taiwo Akinwande,Sunny Alli,Mistura Asunramu
381,Game Fools Play,Oby Kechere,Comedy,2007,La Chimex Ventures,Sam Loco Efe,Charles Awurum,Camilla Mberekpe
382,Nkan Alejo,"Afolayan,Ade Jerry",Drama,2020,Triple M Pictures,Adeyinka Adegite,Charles Adeniyi,Taofeek Adewole
383,Guilty Pleasures,Desmond Elliot,Drama,2009,Royal Arts Academy,Emeka Duru,Desmond Elliot,Temisan Etsede
384,Undertow,Michael Jaja,Drama,2021,Rok Studios,Eze Ebuka,Chinelo Enemchukwu,Uche Ogbodo
385,Who is the Perp?,Muyiwa Aluko,Mystery,2022,"Rok Studios,Watts Camera Action",Ahmed Afolabi,Chibuikem Chris,Oladipo Dipson
386,Special Friends,Uyoyou Adia,Drama,2022,Rok Studios,Fred Amata,Pamilerin Ayodeji,Omowunmi Dada
387,A Simple Lie,Biodun Stephen,Comedy,2022,ShutterSpeed Projects,Bukunmi Adeaga-Ilori,Bisola Aiyeola,Emmanuel Ikubese
388,The 3rd Law of Motion,Teejay RossOscar,Short,2013,LTJ Films,Celestine Johnson,Izevbohi Ohizua,Paul Apel Papel
389,True Betrayal,Patience Oghre,Drama,2019,Doris Simeon Productions,Tana Adelana,Akeem Adeyemi,Odunola Agoro
390,Bless Me,Ernest Obi,Drama,2005,Hallmark Films Ltd.,Rita Dominic,Mike Ezuruonye,Clem Ohameze
391,Sinners,Simon Peacemaker,Drama,2020,Rok Studios,Kate Adepegba,Tessy Brown,Jennifer Eliogu
392,Black Elijah,Cent Micah Imoyera,Drama,2018,"Hossana Studios,eBlaq Nation",Esther Audu,Emmanuel Blaq,Emmanuel Emoabino
393,"You, Me, Us",Tope Alake,Romance,2021,Rok Studios,Kameel Audu,Motunrayo Gbolagade,Scarlet Gomez
394,Amina,Izu Ojukwu,Action,2021,"BlackScreen Entertainment,Netflix,Videosonic Studios",Usman Tijani Abubakar,Jennifer Ezekiel Ade,Paul Adubazi
395,Midnight Love,Ebere Onwu,Action,2003,Amaco Investments,Joseph Agu,Patrick Amadi,Adah Buruwa
396,Where We Started,Akin-Tijani Balogun,Drama,2021,Rok Studios,Ahmed Afolabi,Lucy Ameh,David Arkoh
397,Executioner,Adewale Rasaq,Crime,2019,Princess Flaky Productions,Seun Akindele,Segun Arinze,Lota Chukwu
398,Twisting Knives,Aniedi Awah Noba,Drama,2021,"Africa Magic Original Films,Noba Studios",Victoria Ogechi Alozie,Esther Audu,Cheng Fuller
399,Doctor Lanre,Ayoka Thompson,Drama,2021,Mainsky Chapters,Okey Uzoeshi,Femi Branch,Bolaji Ogunmola
